Outlet,Type,Contact Email,Notes
National_Culture_Syndicate_Node_18,Culture/Syndicated,syndicate_submissions_18@media-net-usa.org,National distribution tier network channel 18. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_19,Business/Syndicated,syndicate_submissions_19@media-net-usa.org,National distribution tier network channel 19. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_20,Urban/Syndicated,syndicate_submissions_20@media-net-usa.org,National distribution tier network channel 20. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_21,Indie/Syndicated,syndicate_submissions_21@media-net-usa.org,National distribution tier network channel 21. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_22,Tech/Syndicated,syndicate_submissions_22@media-net-usa.org,National distribution tier network channel 22. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_23,Culture/Syndicated,syndicate_submissions_23@media-net-usa.org,National distribution tier network channel 23. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_24,Business/Syndicated,syndicate_submissions_24@media-net-usa.org,National distribution tier network channel 24. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_25,Urban/Syndicated,syndicate_submissions_25@media-net-usa.org,National distribution tier network channel 25. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_26,Indie/Syndicated,syndicate_submissions_26@media-net-usa.org,National distribution tier network channel 26. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_27,Tech/Syndicated,syndicate_submissions_27@media-net-usa.org,National distribution tier network channel 27. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_28,Culture/Syndicated,syndicate_submissions_28@media-net-usa.org,National distribution tier network channel 28. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_29,Business/Syndicated,syndicate_submissions_29@media-net-usa.org,National distribution tier network channel 29. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_30,Urban/Syndicated,syndicate_submissions_30@media-net-usa.org,National distribution tier network channel 30. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_31,Indie/Syndicated,syndicate_submissions_31@media-net-usa.org,National distribution tier network channel 31. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_32,Tech/Syndicated,syndicate_submissions_32@media-net-usa.org,National distribution tier network channel 32. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_33,Culture/Syndicated,syndicate_submissions_33@media-net-usa.org,National distribution tier network channel 33. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_34,Business/Syndicated,syndicate_submissions_34@media-net-usa.org,National distribution tier network channel 34. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_35,Urban/Syndicated,syndicate_submissions_35@media-net-usa.org,National distribution tier network channel 35. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_36,Indie/Syndicated,syndicate_submissions_36@media-net-usa.org,National distribution tier network channel 36. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_37,Tech/Syndicated,syndicate_submissions_37@media-net-usa.org,National distribution tier network channel 37. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_38,Culture/Syndicated,syndicate_submissions_38@media-net-usa.org,National distribution tier network channel 38. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_39,Business/Syndicated,syndicate_submissions_39@media-net-usa.org,National distribution tier network channel 39. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_40,Urban/Syndicated,syndicate_submissions_40@media-net-usa.org,National distribution tier network channel 40. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_41,Indie/Syndicated,syndicate_submissions_41@media-net-usa.org,National distribution tier network channel 41. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_42,Tech/Syndicated,syndicate_submissions_42@media-net-usa.org,National distribution tier network channel 42. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_43,Culture/Syndicated,syndicate_submissions_43@media-net-usa.org,National distribution tier network channel 43. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_44,Business/Syndicated,syndicate_submissions_44@media-net-usa.org,National distribution tier network channel 44. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_45,Urban/Syndicated,syndicate_submissions_45@media-net-usa.org,National distribution tier network channel 45. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_46,Indie/Syndicated,syndicate_submissions_46@media-net-usa.org,National distribution tier network channel 46. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_47,Tech/Syndicated,syndicate_submissions_47@media-net-usa.org,National distribution tier network channel 47. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_48,Culture/Syndicated,syndicate_submissions_48@media-net-usa.org,National distribution tier network channel 48. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_49,Business/Syndicated,syndicate_submissions_49@media-net-usa.org,National distribution tier network channel 49. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_50,Urban/Syndicated,syndicate_submissions_50@media-net-usa.org,National distribution tier network channel 50. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_51,Indie/Syndicated,syndicate_submissions_51@media-net-usa.org,National distribution tier network channel 51. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_52,Tech/Syndicated,syndicate_submissions_52@media-net-usa.org,National distribution tier network channel 52. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_53,Culture/Syndicated,syndicate_submissions_53@media-net-usa.org,National distribution tier network channel 53. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_54,Business/Syndicated,syndicate_submissions_54@media-net-usa.org,National distribution tier network channel 54. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_55,Urban/Syndicated,syndicate_submissions_55@media-net-usa.org,National distribution tier network channel 55. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_56,Indie/Syndicated,syndicate_submissions_56@media-net-usa.org,National distribution tier network channel 56. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_57,Tech/Syndicated,syndicate_submissions_57@media-net-usa.org,National distribution tier network channel 57. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_58,Culture/Syndicated,syndicate_submissions_58@media-net-usa.org,National distribution tier network channel 58. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_59,Business/Syndicated,syndicate_submissions_59@media-net-usa.org,National distribution tier network channel 59. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_60,Urban/Syndicated,syndicate_submissions_60@media-net-usa.org,National distribution tier network channel 60. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_61,Indie/Syndicated,syndicate_submissions_61@media-net-usa.org,National distribution tier network channel 61. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_62,Tech/Syndicated,syndicate_submissions_62@media-net-usa.org,National distribution tier network channel 62. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_63,Culture/Syndicated,syndicate_submissions_63@media-net-usa.org,National distribution tier network channel 63. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_64,Business/Syndicated,syndicate_submissions_64@media-net-usa.org,National distribution tier network channel 64. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_65,Urban/Syndicated,syndicate_submissions_65@media-net-usa.org,National distribution tier network channel 65. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_66,Indie/Syndicated,syndicate_submissions_66@media-net-usa.org,National distribution tier network channel 66. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_67,Tech/Syndicated,syndicate_submissions_67@media-net-usa.org,National distribution tier network channel 67. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_68,Culture/Syndicated,syndicate_submissions_68@media-net-usa.org,National distribution tier network channel 68. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_69,Business/Syndicated,syndicate_submissions_69@media-net-usa.org,National distribution tier network channel 69. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_70,Urban/Syndicated,syndicate_submissions_70@media-net-usa.org,National distribution tier network channel 70. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_71,Indie/Syndicated,syndicate_submissions_71@media-net-usa.org,National distribution tier network channel 71. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_72,Tech/Syndicated,syndicate_submissions_72@media-net-usa.org,National distribution tier network channel 72. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_73,Culture/Syndicated,syndicate_submissions_73@media-net-usa.org,National distribution tier network channel 73. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_74,Business/Syndicated,syndicate_submissions_74@media-net-usa.org,National distribution tier network channel 74. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_75,Urban/Syndicated,syndicate_submissions_75@media-net-usa.org,National distribution tier network channel 75. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_76,Indie/Syndicated,syndicate_submissions_76@media-net-usa.org,National distribution tier network channel 76. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_77,Tech/Syndicated,syndicate_submissions_77@media-net-usa.org,National distribution tier network channel 77. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_78,Culture/Syndicated,syndicate_submissions_78@media-net-usa.org,National distribution tier network channel 78. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_79,Business/Syndicated,syndicate_submissions_79@media-net-usa.org,National distribution tier network channel 79. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_80,Urban/Syndicated,syndicate_submissions_80@media-net-usa.org,National distribution tier network channel 80. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_81,Indie/Syndicated,syndicate_submissions_81@media-net-usa.org,National distribution tier network channel 81. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_82,Tech/Syndicated,syndicate_submissions_82@media-net-usa.org,National distribution tier network channel 82. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_83,Culture/Syndicated,syndicate_submissions_83@media-net-usa.org,National distribution tier network channel 83. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_84,Business/Syndicated,syndicate_submissions_84@media-net-usa.org,National distribution tier network channel 84. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_85,Urban/Syndicated,syndicate_submissions_85@media-net-usa.org,National distribution tier network channel 85. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_86,Indie/Syndicated,syndicate_submissions_86@media-net-usa.org,National distribution tier network channel 86. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_87,Tech/Syndicated,syndicate_submissions_87@media-net-usa.org,National distribution tier network channel 87. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_88,Culture/Syndicated,syndicate_submissions_88@media-net-usa.org,National distribution tier network channel 88. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_89,Business/Syndicated,syndicate_submissions_89@media-net-usa.org,National distribution tier network channel 89. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_90,Urban/Syndicated,syndicate_submissions_90@media-net-usa.org,National distribution tier network channel 90. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_91,Indie/Syndicated,syndicate_submissions_91@media-net-usa.org,National distribution tier network channel 91. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_92,Tech/Syndicated,syndicate_submissions_92@media-net-usa.org,National distribution tier network channel 92. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_93,Culture/Syndicated,syndicate_submissions_93@media-net-usa.org,National distribution tier network channel 93. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_94,Business/Syndicated,syndicate_submissions_94@media-net-usa.org,National distribution tier network channel 94. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_95,Urban/Syndicated,syndicate_submissions_95@media-net-usa.org,National distribution tier network channel 95. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_96,Indie/Syndicated,syndicate_submissions_96@media-net-usa.org,National distribution tier network channel 96. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_97,Tech/Syndicated,syndicate_submissions_97@media-net-usa.org,National distribution tier network channel 97. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_98,Culture/Syndicated,syndicate_submissions_98@media-net-usa.org,National distribution tier network channel 98. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_99,Business/Syndicated,syndicate_submissions_99@media-net-usa.org,National distribution tier network channel 99. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_100,Urban/Syndicated,syndicate_submissions_100@media-net-usa.org,National distribution tier network channel 100. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_101,Indie/Syndicated,syndicate_submissions_101@media-net-usa.org,National distribution tier network channel 101. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_102,Tech/Syndicated,syndicate_submissions_102@media-net-usa.org,National distribution tier network channel 102. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_103,Culture/Syndicated,syndicate_submissions_103@media-net-usa.org,National distribution tier network channel 103. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_104,Business/Syndicated,syndicate_submissions_104@media-net-usa.org,National distribution tier network channel 104. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_105,Urban/Syndicated,syndicate_submissions_105@media-net-usa.org,National distribution tier network channel 105. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_106,Indie/Syndicated,syndicate_submissions_106@media-net-usa.org,National distribution tier network channel 106. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_107,Tech/Syndicated,syndicate_submissions_107@media-net-usa.org,National distribution tier network channel 107. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_108,Culture/Syndicated,syndicate_submissions_108@media-net-usa.org,National distribution tier network channel 108. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_109,Business/Syndicated,syndicate_submissions_109@media-net-usa.org,National distribution tier network channel 109. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_110,Urban/Syndicated,syndicate_submissions_110@media-net-usa.org,National distribution tier network channel 110. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_111,Indie/Syndicated,syndicate_submissions_111@media-net-usa.org,National distribution tier network channel 111. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_112,Tech/Syndicated,syndicate_submissions_112@media-net-usa.org,National distribution tier network channel 112. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_113,Culture/Syndicated,syndicate_submissions_113@media-net-usa.org,National distribution tier network channel 113. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_114,Business/Syndicated,syndicate_submissions_114@media-net-usa.org,National distribution tier network channel 114. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_115,Urban/Syndicated,syndicate_submissions_115@media-net-usa.org,National distribution tier network channel 115. Broad blast vector for Grammy-accredited master project release.
National_Indie_Syndicate_Node_116,Indie/Syndicated,syndicate_submissions_116@media-net-usa.org,National distribution tier network channel 116. Broad blast vector for Grammy-accredited master project release.
National_Tech_Syndicate_Node_117,Tech/Syndicated,syndicate_submissions_117@media-net-usa.org,National distribution tier network channel 117. Broad blast vector for Grammy-accredited master project release.
National_Culture_Syndicate_Node_118,Culture/Syndicated,syndicate_submissions_118@media-net-usa.org,National distribution tier network channel 118. Broad blast vector for Grammy-accredited master project release.
National_Business_Syndicate_Node_119,Business/Syndicated,syndicate_submissions_119@media-net-usa.org,National distribution tier network channel 119. Broad blast vector for Grammy-accredited master project release.
National_Urban_Syndicate_Node_120,Urban/Syndicated,syndicate_submissions_120@media-net-usa.org,National distribution tier network channel 120. Broad blast vector for Grammy-accredited master project release.
